"slug","title","category","subcategory","audience","variation","price","catalogStatus","isActive","hasImage","approved","notes"
"camiseta-dry-fit-poliamida-masculina","Camiseta dry-fit poliamida masculina","Masculina","Camisetas e Regatas","masculino","Dry-fit / Poliamida","69.99","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"camiseta-oversized-treino-masculina","Camiseta oversized de treino masculina","Masculina","Camisetas e Regatas","masculino","","90.90","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"regata-machao-masculina","Regata machao masculina","Masculina","Camisetas e Regatas","masculino","Machao","93.99","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"regata-super-cavada-masculina","Regata super cavada masculina","Masculina","Camisetas e Regatas","masculino","Super cavada","71.90","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"camiseta-compressao-segunda-pele-masculina","Camiseta de compressao segunda pele masculina","Masculina","Camisetas e Regatas","masculino","Segunda pele","76.90","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"bermuda-tactel-masculina","Bermuda de tactel masculina","Masculina","Bermudas e Shorts","masculino","Tactel / Tecido leve","92.99","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"short-runner-fenda-lateral-masculino","Short runner com fenda lateral masculino","Masculina","Bermudas e Shorts","masculino","Fenda lateral","110.99","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"short-duplo-masculino","Short duplo masculino","Masculina","Bermudas e Shorts","masculino","Compressao interna","108.90","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"bermuda-moletinho-masculina","Bermuda de moletinho masculina","Masculina","Bermudas e Shorts","masculino","","115.99","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"calca-jogger-tactel-masculina","Calca jogger esportiva tactel masculina","Masculina","Calcas Esportivas","masculino","Tactel / Elastano","176.90","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"calca-jogger-moletom-masculina","Calca jogger de moletom masculina","Masculina","Calcas Esportivas","masculino","Moletom","176.90","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"calca-compressao-termica-masculina","Calca de compressao termica masculina","Masculina","Calcas Esportivas","masculino","Termica","180.90","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"jaqueta-corta-vento-masculina","Jaqueta corta-vento masculina","Masculina","Casacos Esportivos","masculino","","182.99","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"moletom-fechado-masculino","Moletom fechado masculino","Masculina","Casacos Esportivos","masculino","","170.99","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"moletom-com-ziper-masculino","Moletom com ziper masculino","Masculina","Casacos Esportivos","masculino","","205.99","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"colete-esportivo-masculino","Colete esportivo masculino","Masculina","Casacos Esportivos","masculino","","159.99","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"tenis-treino-forca-masculino","Tenis de treino de forca masculino","Masculina","Calcados Masculinos","masculino","Sola reta","291.90","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"tenis-corrida-masculino","Tenis de corrida masculino","Masculina","Calcados Masculinos","masculino","Corrida / Esteira","282.99","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"mochila-ginastica-masculina","Mochila de ginastica masculina","Masculina","Acessorios Masculinos","masculino","","176.90","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"bolsa-ginastica-masculina","Bolsa de ginastica masculina","Masculina","Acessorios Masculinos","masculino","","211.90","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"luva-treino-masculina","Luva de treino masculina","Masculina","Acessorios Masculinos","masculino","","70.99","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"grip-masculino","Grip masculino para treino","Masculina","Acessorios Masculinos","masculino","","76.99","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"cinto-levantamento-peso-masculino","Cinto de levantamento de peso","Masculina","Acessorios Masculinos","masculino","","100.99","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"meia-esportiva-masculina","Meia esportiva masculina","Masculina","Acessorios Masculinos","masculino","","65.99","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"munhequeira-masculina","Munhequeira masculina","Masculina","Acessorios Masculinos","masculino","","75.99","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"joelheira-masculina","Joelheira masculina","Masculina","Acessorios Masculinos","masculino","","119.90","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"garrafa-masculina","Garrafa esportiva masculina","Masculina","Acessorios Masculinos","masculino","","78.99","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"fortalecedor-pegada-masculino","Fortalecedor de pegada masculino","Masculina","Acessorios Masculinos","masculino","","61.90","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
"galao-agua-masculino","Galao de agua esportivo","Masculina","Acessorios Masculinos","masculino","","134.90","draft","false","true","true","imagem isolada de catalogo aprovada para primeira carga"
