slug,title,category,subcategory,audience,variation,price,catalogStatus,isActive,hasImage,approved,notes
"whey-protein-concentrado","Whey Protein Concentrado","Suplementos","Proteinas","suplemento","Concentrado","129.99","draft","false","false","false",""
"whey-protein-isolado","Whey Protein Isolado","Suplementos","Proteinas","suplemento","Isolado","102.90","draft","false","false","false",""
"whey-protein-hidrolisado","Whey Protein Hidrolisado","Suplementos","Proteinas","suplemento","Hidrolisado","44.99","draft","false","false","false",""
"proteina-vegetal-ervilha","Proteina Vegetal de Ervilha","Suplementos","Proteinas","suplemento","Ervilha","128.90","draft","false","false","false",""
"proteina-vegetal-arroz","Proteina Vegetal de Arroz","Suplementos","Proteinas","suplemento","Arroz","154.90","draft","false","false","false",""
"proteina-vegetal-soja","Proteina Vegetal de Soja","Suplementos","Proteinas","suplemento","Soja","96.90","draft","false","false","false",""
"albumina","Albumina","Suplementos","Proteinas","suplemento","","82.90","draft","false","false","false",""
"caseina","Caseina","Suplementos","Proteinas","suplemento","","131.90","draft","false","false","false",""
"colageno","Colageno","Suplementos","Proteinas","suplemento","","102.99","draft","false","false","false",""
"creatina","Creatina","Suplementos","Aminoacidos","suplemento","","67.99","draft","false","false","false",""
"bcaa","BCAA","Suplementos","Aminoacidos","suplemento","","50.90","draft","false","false","false",""
"glutamina","Glutamina","Suplementos","Aminoacidos","suplemento","","62.99","draft","false","false","false",""
"eaa","EAA","Suplementos","Aminoacidos","suplemento","","44.90","draft","false","false","false",""
"pre-treino-em-po","Pre-treino em Po","Suplementos","Pre-treinos e Energia","suplemento","","137.90","draft","false","false","false",""
"cafeina-capsulas","Cafeina em Capsulas","Suplementos","Pre-treinos e Energia","suplemento","","149.99","draft","false","false","false",""
"gel-carboidrato","Gel de Carboidrato","Suplementos","Pre-treinos e Energia","suplemento","","127.90","draft","false","false","false",""
"goma-energetica","Goma Energetica","Suplementos","Pre-treinos e Energia","suplemento","","76.99","draft","false","false","false",""
"termogenico","Termogenico","Suplementos","Emagrecedores e Termogenicos","suplemento","","43.99","draft","false","false","false",""
"l-carnitina","L-Carnitina","Suplementos","Emagrecedores e Termogenicos","suplemento","","97.99","draft","false","false","false",""
"diuretico-natural","Diuretico Natural","Suplementos","Emagrecedores e Termogenicos","suplemento","","143.99","draft","false","false","false",""
"hipercalorico","Hipercalorico","Suplementos","Carboidratos e Hipercaloricos","suplemento","Mass gainer","40.99","draft","false","false","false",""
"maltodextrina","Maltodextrina","Suplementos","Carboidratos e Hipercaloricos","suplemento","","71.90","draft","false","false","false",""
"dextrose","Dextrose","Suplementos","Carboidratos e Hipercaloricos","suplemento","","106.90","draft","false","false","false",""
"palatinose","Palatinose","Suplementos","Carboidratos e Hipercaloricos","suplemento","","152.99","draft","false","false","false",""
"milho-ceroso","Milho Ceroso","Suplementos","Carboidratos e Hipercaloricos","suplemento","","95.99","draft","false","false","false",""
"multivitaminico","Multivitaminico","Suplementos","Vitaminas, Minerais e Bem-estar","suplemento","","121.90","draft","false","false","false",""
"omega-3","Omega 3","Suplementos","Vitaminas, Minerais e Bem-estar","suplemento","","126.99","draft","false","false","false",""
"zma","ZMA","Suplementos","Vitaminas, Minerais e Bem-estar","suplemento","","52.99","draft","false","false","false",""
"melatonina","Melatonina","Suplementos","Vitaminas, Minerais e Bem-estar","suplemento","","65.99","draft","false","false","false",""
"fitoterapico","Fitoterapico","Suplementos","Vitaminas, Minerais e Bem-estar","suplemento","","154.90","draft","false","false","false",""
"barra-proteina","Barra de Proteina","Suplementos","Alimentos e Snacks Fit","suplemento","","135.90","draft","false","false","false",""
"pasta-amendoim","Pasta de Amendoim","Suplementos","Alimentos e Snacks Fit","suplemento","","54.99","draft","false","false","false",""
"bebida-proteica-rtd","Bebida Proteica RTD","Suplementos","Alimentos e Snacks Fit","suplemento","RTD","134.99","draft","false","false","false",""
"calda-zero","Calda Zero","Suplementos","Alimentos e Snacks Fit","suplemento","","81.90","draft","false","false","false",""
"molho-zero","Molho Zero","Suplementos","Alimentos e Snacks Fit","suplemento","","142.90","draft","false","false","false",""
