slug,title,category,subcategory,audience,variation,price,catalogStatus,isActive,hasImage,approved,notes
"top-esportivo-alta-sustentacao","Top esportivo alta sustentacao","Feminina","Tops Esportivos","feminino","Alta sustentacao","0","draft","false","false","false",""
"top-esportivo-media-sustentacao","Top esportivo media sustentacao","Feminina","Tops Esportivos","feminino","Media sustentacao","0","draft","false","false","false",""
"top-esportivo-baixa-sustentacao","Top esportivo baixa sustentacao","Feminina","Tops Esportivos","feminino","Baixa sustentacao","0","draft","false","false","false",""
"top-esportivo-com-bojo","Top esportivo com bojo","Feminina","Tops Esportivos","feminino","Com bojo","0","draft","false","false","false",""
"top-esportivo-sem-bojo","Top esportivo sem bojo","Feminina","Tops Esportivos","feminino","Sem bojo","0","draft","false","false","false",""
"top-esportivo-costas-nadador","Top esportivo costas nadador","Feminina","Tops Esportivos","feminino","Costas nadador","0","draft","false","false","false",""
"top-esportivo-tiras-cruzadas","Top esportivo tiras cruzadas","Feminina","Tops Esportivos","feminino","Tiras cruzadas","0","draft","false","false","false",""
"top-esportivo-assimetrico","Top esportivo assimetrico","Feminina","Tops Esportivos","feminino","Assimetrico","0","draft","false","false","false",""
"camiseta-dry-fit-poliamida-feminina","Camiseta dry-fit poliamida feminina","Feminina","Camisetas, Regatas e Croppeds","feminino","Dry-fit / Poliamida","0","draft","false","false","false",""
"cropped-manga-curta-feminino","Cropped manga curta feminino","Feminina","Camisetas, Regatas e Croppeds","feminino","Manga curta","0","draft","false","false","false",""
"cropped-manga-longa-feminino","Cropped manga longa feminino","Feminina","Camisetas, Regatas e Croppeds","feminino","Manga longa","0","draft","false","false","false",""
"cropped-regata-feminino","Cropped regata feminino","Feminina","Camisetas, Regatas e Croppeds","feminino","Regata","0","draft","false","false","false",""
"regata-cavada-feminina","Regata cavada feminina","Feminina","Camisetas, Regatas e Croppeds","feminino","Cavada","0","draft","false","false","false",""
"regata-nadador-feminina","Regata nadador feminina","Feminina","Camisetas, Regatas e Croppeds","feminino","Costas nadador","0","draft","false","false","false",""
"regata-respiravel-feminina","Regata respiravel feminina","Feminina","Camisetas, Regatas e Croppeds","feminino","Tela respiravel","0","draft","false","false","false",""
"camiseta-compressao-termica-feminina","Camiseta compressao termica feminina","Feminina","Camisetas, Regatas e Croppeds","feminino","Compressao / Termica","0","draft","false","false","false",""
"legging-cintura-alta-feminina","Legging cintura alta feminina","Feminina","Leggings e Calcas","feminino","Cintura alta","0","draft","false","false","false",""
"legging-cos-v-feminina","Legging cos em V feminina","Feminina","Leggings e Calcas","feminino","Cos em V","0","draft","false","false","false",""
